C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Classical\Ravel - Boléro.mp3	Ravel	Boléro
"C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Classical\Robin Ticciati, Scottish Chamber Orchestra & Karen Cargill - La mort de Cléopâtre Scene lyrique.mp3"	"Robin Ticciati, Scottish Chamber Orchestra & Karen Cargill"	La mort de Cléopâtre Scene lyrique
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Classical\Rossini - The Barber of Seville Largo al factotum.mp3	Rossini	The Barber of Seville Largo al factotum
"C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Classical\Vivica Genaux, Cappella Gabetta & Andrés Gabetta - Alessandro, HWV 21 Lusinghe più care.mp3"	"Vivica Genaux, Cappella Gabetta & Andrés Gabetta"	"Alessandro, HWV 21 Lusinghe più care"
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Country\Aoife O'Donovan - Red & White & Blue & Gold.mp3	Aoife O'Donovan	Red & White & Blue & Gold
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Country\Gary Allan - One More Time.mp3	Gary Allan	One More Time
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Country\Gary Allan - Today.mp3	Gary Allan	Today
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Country\George Strait - The Night Is Young.mp3	George Strait	The Night Is Young
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Country\Holly Williams - Without You.mp3	Holly Williams	Without You
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Country\Kenny Rogers - I Only Have Eyes For You.mp3	Kenny Rogers	I Only Have Eyes For You
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Country\Little Big Town - Self Made.mp3	Little Big Town	Self Made
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Country\LoCash Cowboys - I Hope.mp3	LoCash Cowboys	I Hope
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Country\Lonestar - With My Eyes Open.mp3	Lonestar	With My Eyes Open
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Country\Luke Bryan - In Love With the Girl.mp3	Luke Bryan	In Love With the Girl
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Country\Steve Azar - Sunshine (Radio Edit).mp3	Steve Azar	Sunshine (Radio Edit)
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Country\Steve Martin & Edie Brickell - Friend of Mine.mp3	Steve Martin & Edie Brickell	Friend of Mine
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Country\The Band Perry - Forever Mine Nevermind.mp3	The Band Perry	Forever Mine Nevermind
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Country\Thompson Square - Testing the Water.mp3	Thompson Square	Testing the Water
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Country\Trace Adkins - Still Love You.mp3	Trace Adkins	Still Love You
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\French\André Bourvil & Bourvil - À Joinville le Pont.mp3	André Bourvil & Bourvil	À Joinville le Pont
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\French\Catherine Deneuve - Toi jamais.mp3	Catherine Deneuve	Toi jamais
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\French\Christophe Maé - Tombé Sous Le Charme.mp3	Christophe Maé	Tombé Sous Le Charme
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\French\Edith Piaf - Il pleut.mp3	Edith Piaf	Il pleut
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\French\Edith Piaf - La vie en rose.mp3	Edith Piaf	La vie en rose
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\French\Edith Piaf - Sous le Ciel de Paris.mp3	Edith Piaf	Sous le Ciel de Paris
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\French\Hugues Aufray - Le poinçonneur des Lilas.mp3	Hugues Aufray	Le poinçonneur des Lilas
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\French\Jean Sablon - Sur Le Pont D'Avignon.mp3	Jean Sablon	Sur Le Pont D'Avignon
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\French\Joe Dassin - A toi.mp3	Joe Dassin	A toi
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\French\Malcolm McLaren - Jazz is Paris.mp3	Malcolm McLaren	Jazz is Paris
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\French\Maurice Chevalier - Mimile (Un gars de menilmontant).mp3	Maurice Chevalier	Mimile (Un gars de menilmontant)
